"","Water.Control.Zone","Station","Dates","Sample.No","Depth","Volatile.Suspended.Solids..mg.L.","Unionised.Ammonia..mg.L.","Turbidity..NTU.","Total.Phosphorus..mg.L.","Total.Nitrogen..mg.L.","Total.Kjeldahl.Nitrogen..mg.L.","Total.Inorganic.Nitrogen..mg.L.","Temperature...C.","Suspended.Solids..mg.L.","Silica..mg.L.","Secchi.Disc.Depth..M.","Salinity..psu.","Phaeo.pigments..μg.L.","pH","Orthophosphate.Phosphorus..mg.L.","Nitrite.Nitrogen..mg.L.","Nitrate.Nitrogen..mg.L.","Faecal.Coliforms..cfu.100mL.","E..coli..cfu.100mL.","Dissolved.Oxygen..mg.L.","Dissolved.Oxygen...saturation.","Chlorophyll.a..μg.L.","Ammonia.Nitrogen..mg.L.","X5.day.Biochemical.Oxygen.Demand..mg.L.","site","phase"
"4740","Southern","SM7","2022-08-19",1,"Surface Water","1.2","0.001","84.4","0.04","0.29","0.1","0.21",29.1,"2.6","0.27",2.6,27.5,"1.7",7.9,"<0.002","0.04","0.15","5","2",5.6,86,"40","0.024","2.5","CC","final"
"4741","Southern","SM7","2022-08-19",1,"Middle Water","1","<0.001","17.2","0.04","0.36","0.12","0.27",27.9,"2.8","0.46",2.6,28.4,"3.2",7.5,"<0.002","0.046","0.19","22","11",9.4,141,"37","0.032","2.5","CC","final"
"4742","Southern","SM7","2022-08-19",1,"Bottom Water","2.6","<0.001","35.1","0.04","0.39","0.14","0.28",27.8,"6.7","0.49",2.6,29.2,"12",7.5,"0.003","0.046","0.2","46","23",5.2,78,"26","0.034","2.1","CC","final"
"4743","Southern","SM7","2022-09-01",1,"Surface Water","1.1","0.001","15.7","0.06","0.55","0.22","0.41",28.8,"3.7","1.6",2.3,28.8,"1",7.4,"<0.002","0.053","0.28","10","1",4.8,73,"5.7","0.072","0.7","CC","final"
"4744","Southern","SM7","2022-09-01",1,"Middle Water","1.2","<0.001","20","0.05","0.48","0.18","0.36",28.3,"3.4","1.4",2.3,30,"1.9",7.4,"0.011","0.048","0.25","7","1",5.1,78,"5.8","0.066","0.6","CC","final"
"4745","Southern","SM7","2022-09-01",1,"Bottom Water","<0.5","<0.001","31.8","0.05","0.53","0.28","0.32",27.5,"2.6","1.4",2.3,31.7,"0.6",7.3,"0.015","0.046","0.2","9","2",3.2,48,"4.4","0.078","0.4","CC","final"
"4746","Southern","SM7","2022-10-19",1,"Surface Water","1","0.003","4.2","0.06","0.53","0.49","0.09",26.3,"4.3","0.93",1,33.3,"0.3",8.1,"0.013","0.015","0.029","580","260",5.4,81,"1.5","0.044","0.3","CC","final"
"4747","Southern","SM7","2022-10-19",1,"Middle Water","1","0.003","4.1","0.06","0.41","0.37","0.09",26.4,"6.2","0.92",1,33.2,"0.4",8.1,"0.014","0.015","0.028","540","190",4.9,74,"1.2","0.046","0.2","CC","final"
"4748","Southern","SM7","2022-10-19",1,"Bottom Water","1.6","0.002","4.2","0.06","0.6","0.56","0.07",26.4,"6.8","1",1,33.4,"0.3",8.1,"0.012","0.016","0.024","430","210",5.7,86,"1.7","0.033","<0.1","CC","final"
"4749","Southern","SM7","2022-11-11",1,"Surface Water","0.8","<0.001","34.2","0.07","0.53","0.39","0.15",23.6,"2.9","1.4",2.2,33,"0.6",7.3,"0.015","0.009","0.13","<1","<1",5.8,82,"1.8","0.011","0.8","CC","final"
"4750","Southern","SM7","2022-11-11",1,"Middle Water","0.8","<0.001","35.6","0.08","0.47","0.33","0.16",23.4,"3.9","1.4",2.2,33,"1.1",7.3,"0.017","0.009","0.13","2","2",7.1,100,"1.5","0.016","0.3","CC","final"
"4751","Southern","SM7","2022-11-11",1,"Bottom Water","0.6","<0.001","48","0.08","0.8","0.66","0.17",23.6,"2.8","1.4",2.2,33.2,"1.3",7.3,"0.019","0.013","0.13","5","2",6.6,95,"1.5","0.028","0.3","CC","final"
"4752","Southern","SM7","2022-12-05",1,"Surface Water","3.3","0.002","4.1","0.06","0.65","0.62","0.08",22.5,"19","0.39",1.8,33,"0.4",8.1,"0.015","0.003","0.026","110","61",5.4,75,"1","0.046","0.3","CC","final"
"4753","Southern","SM7","2022-12-05",1,"Middle Water","1","0.002","4.3","0.06","0.66","0.63","0.08",23.1,"7.6","0.41",1.8,33.1,"<0.2",8.1,"0.022","0.004","0.028","54","30",6.1,87,"1.3","0.047","0.3","CC","final"
"4754","Southern","SM7","2022-12-05",1,"Bottom Water","2.3","0.002","4.2","0.06","0.75","0.72","0.07",23.1,"14","0.39",1.8,33.2,"0.2",8.1,"0.015","0.003","0.026","90","77",6.2,88,"1.3","0.045","0.4","CC","final"
"4755","Southern","SM9","2020-06-03",1,"Surface Water","3.5","0.005","5.8","0.04","0.96","0.57","0.49",27.6,"15","1.6",2.6,26.1,"2.7",8,"0.008","0.1","0.29","7","2",6,88,"13","0.095","1.2","PC","initial"
"4756","Southern","SM9","2020-06-03",1,"Middle Water","3.2","0.004","3.5","0.04","0.54","0.18","0.44",27.5,"15","1.7",2.6,26.1,"2.7",7.9,"0.006","0.1","0.26","9","2",6.8,99,"11","0.076","1.1","PC","initial"
"4757","Southern","SM9","2020-06-03",1,"Bottom Water","3.6","0.003","9.9","0.04","1.13","0.79","0.42",26.8,"16","1.7",2.6,27.6,"3.3",7.9,"0.004","0.074","0.27","54","17",5,73,"10","0.08","1.1","PC","initial"
"4758","Southern","SM9","2020-07-10",1,"Surface Water","2.6","0.005","2.2","0.07","0.66","0.23","0.52",27.4,"12","2.1",2.2,25.4,"2.4",8,"0.007","0.051","0.38","46","15",5.8,85,"12","0.086","1.4","PC","initial"
"4759","Southern","SM9","2020-07-10",1,"Middle Water","3","0.004","2.1","0.06","0.58","0.15","0.5",27.1,"11","2.1",2.2,25.6,"2.1",8,"0.007","0.051","0.38","380","80",6.2,91,"13","0.07","1.8","PC","initial"
"4760","Southern","SM9","2020-07-10",1,"Bottom Water","2.3","0.004","3.3","0.05","0.63","0.24","0.48",25.9,"9.7","2.1",2.2,27.7,"2.2",7.9,"0.015","0.051","0.34","3800","1400",5.2,75,"7.9","0.088","1.3","PC","initial"
"4761","Southern","SM9","2020-09-07",1,"Surface Water","1.9","0.002","1.8","0.02","0.92","0.67","0.33",27.2,"9","2.1",2.8,30.4,"0.7",7.8,"0.019","0.058","0.19","50","46",4.4,66,"4.1","0.079","0.7","PC","initial"
"4762","Southern","SM9","2020-09-07",1,"Middle Water","1.8","0.002","2.7","0.03","0.71","0.47","0.32",26.9,"10","2",2.8,30.7,"0.3",7.7,"0.017","0.058","0.18","920","380",4.6,69,"3.7","0.083","0.7","PC","initial"
"4763","Southern","SM9","2020-09-07",1,"Bottom Water","2.8","0.002","8.6","0.03","0.7","0.47","0.31",27,"16","2.1",2.8,30.8,"1.4",7.7,"0.018","0.058","0.17","450","210",4.5,67,"3.5","0.081","0.6","PC","initial"
"4764","Southern","SM9","2020-10-09",1,"Surface Water","4.5","0.007","4.2","0.08","0.25","0.16","0.22",28.3,"18","1.2",1.9,31.9,"0.7",8,"0.018","0.018","0.068","470","130",5.2,80,"1.2","0.13","0.5","PC","initial"
"4765","Southern","SM9","2020-10-09",1,"Middle Water","4.2","0.007","4.2","0.09","0.27","0.18","0.22",28.2,"17","1.1",1.9,31.9,"1",8,"0.016","0.019","0.067","3200","1800",5.4,83,"1.3","0.13","0.4","PC","initial"
"4766","Southern","SM9","2020-10-09",1,"Bottom Water","4","0.008","4","0.08","0.29","0.21","0.22",28.1,"14","0.96",1.9,32.1,"1",8,"0.017","0.017","0.061","20000","8600",5.4,83,"1.4","0.14","0.5","PC","initial"
"4767","Southern","SM9","2020-11-05",1,"Surface Water","0.8","0.005","3.9","0.06","1.12","0.98","0.31",24.6,"2.5","0.92",2.6,33,"0.9",7.8,"0.023","0.044","0.1","590","450",5.4,79,"3.1","0.17","0.8","PC","initial"
"4768","Southern","SM9","2020-11-05",1,"Middle Water","0.9","0.005","4.7","0.06","0.92","0.78","0.31",24.6,"2.8","0.93",2.6,33,"1",7.8,"0.023","0.044","0.1","840","500",6,87,"3","0.17","0.8","PC","initial"
"4769","Southern","SM9","2020-11-05",1,"Bottom Water","1.4","0.005","5.5","0.06","1.01","0.87","0.33",24.5,"6.4","0.93",2.6,33,"1.2",7.8,"0.024","0.042","0.096","2500","1200",5.9,86,"4","0.19","0.7","PC","initial"
"4770","Southern","SM9","2021-02-19",1,"Surface Water","1.8","0.003","3.1","0.06","0.47","0.38","0.22",19.1,"8.9","0.32",3,31.4,"0.7",7.9,"0.01","<0.002","0.086","130","57",5.3,69,"3.9","0.13","1.2","PC","initial"
"4771","Southern","SM9","2021-02-19",1,"Middle Water","1.6","0.003","3.2","0.06","0.63","0.54","0.22",19.1,"7.9","0.31",3,31.5,"1.7",7.9,"0.006","<0.002","0.086","210","150",5.4,70,"4","0.13","1.2","PC","initial"
"4772","Southern","SM9","2021-02-19",1,"Bottom Water","1.4","0.003","3.3","0.05","1.04","0.94","0.24",19.1,"8.9","0.32",3,31.5,"<0.2",7.9,"0.007","<0.002","0.093","550","490",5.5,72,"5.5","0.14","1","PC","initial"
"4773","Southern","SM9","2021-03-12",1,"Surface Water","1","0.004","4.5","0.07","0.59","0.48","0.34",21,"5","0.94",2.3,32.2,"0.7",7.7,"0.021","0.007","0.098","1","<1",4.5,61,"<0.2","0.23","0.5","PC","initial"
"4774","Southern","SM9","2021-03-12",1,"Middle Water","1.7","0.004","5","0.07","0.62","0.53","0.32",20.5,"10","0.85",2.3,32.3,"<0.2",7.7,"0.022","0.007","0.087","100","73",4.5,60,"1.5","0.23","0.6","PC","initial"
"4775","Southern","SM9","2021-03-12",1,"Bottom Water","2.3","0.004","5.5","0.07","0.61","0.52","0.33",20.4,"13","0.82",2.3,32.4,"<0.2",7.7,"0.022","0.006","0.084","140","94",4.4,59,"1.1","0.24","0.6","PC","initial"
"4776","Southern","SM9","2021-04-15",1,"Surface Water","1.4","0.002","4.7","0.07","1.37","1.2","0.31",24.3,"9.6","0.82",2.1,32.1,"1.3",7.5,"0.017","0.008","0.16","25","6",4.8,68,"8.3","0.14","1.1","PC","initial"
"4777","Southern","SM9","2021-04-15",1,"Middle Water","1.4","0.002","3.9","0.07","0.9","0.74","0.29",24.3,"8.4","0.79",2.1,32.1,"0.8",7.5,"0.015","0.007","0.15","32","6",4.5,65,"7.3","0.13","1.1","PC","initial"
"4778","Southern","SM9","2021-04-15",1,"Bottom Water","1.6","0.002","3.9","0.07","0.88","0.73","0.28",24.3,"10","0.8",2.1,32.1,"1.5",7.5,"0.016","0.007","0.14","32","13",4.5,65,"7.5","0.13","1","PC","initial"
"4779","Southern","SM9","2021-05-06",1,"Surface Water","1.5","0.001","2.6","N/A","N/A","N/A","0.34",25.4,"8.1","1.1",4.3,30.5,"<0.2",7.5,"0.005","0.04","0.21","1","<1",4.4,64,"3","0.094","0.9","PC","initial"
"4780","Southern","SM9","2021-05-06",1,"Middle Water","1.5","0.001","2.9","N/A","N/A","N/A","0.34",25.4,"4.6","1.1",4.3,30.6,"<0.2",7.5,"0.009","0.03","0.21","9","6",4.5,65,"2.9","0.1","0.6","PC","initial"
"4781","Southern","SM9","2021-05-06",1,"Bottom Water","1.8","0.001","4.1","N/A","N/A","N/A","0.29",25.2,"8.6","1",4.3,31.9,"0.2",7.4,"0.012","0.025","0.17","18","7",4.3,63,"2.4","0.099","0.8","PC","initial"
"4782","Southern","SM9","2021-06-04",1,"Surface Water","0.7","<0.001","4.5","N/A","N/A","N/A","0.64",27.5,"2.4","2.4",1.9,25.6,"1.4",7.5,"0.018","0.1","0.48","11","9",5.2,76,"3.8","0.056","0.5","PC","initial"
"4783","Southern","SM9","2021-06-04",1,"Middle Water","0.8","0.001","4.4","N/A","N/A","N/A","0.54",27,"3.3","1.9",1.9,27.6,"2",7.4,"0.021","0.097","0.36","110","63",4.6,68,"3.9","0.081","0.5","PC","initial"
"4784","Southern","SM9","2021-06-04",1,"Bottom Water","1.1","<0.001","6.1","N/A","N/A","N/A","0.45",26.1,"6.8","2",1.9,30.7,"1.6",7.3,"0.026","0.094","0.27","69","38",4,59,"3","0.085","0.2","PC","initial"
"4785","Southern","SM9","2021-07-07",1,"Surface Water","1.3","0.001","3.2","N/A","N/A","N/A","0.44",28.8,"2.9","<0.05",3.4,24.8,"3.7",7.7,"0.007","0.065","0.33","6","1",4.9,72,"13","0.042","2","PC","middle"
"4786","Southern","SM9","2021-07-07",1,"Middle Water","1.4","0.001","3.1","N/A","N/A","N/A","0.44",28.5,"3.3","0.11",3.4,25.2,"6.4",7.6,"0.007","0.067","0.32","41","27",5.3,78,"18","0.056","1.9","PC","middle"
"4787","Southern","SM9","2021-07-07",1,"Bottom Water","1.6","<0.001","9.5","N/A","N/A","N/A","0.42",26.7,"7.1","0.39",3.4,28.9,"4.8",7.3,"0.006","0.067","0.29","50","35",5.3,78,"15","0.065","1.3","PC","middle"
"4788","Southern","SM9","2021-08-21",1,"Surface Water","<0.5","<0.001","4.1","N/A","N/A","N/A","0.37",26.9,"2.8","1",2.2,29.3,"0.4",7.3,"0.008","0.077","0.23","5","3",4.6,67,"1.9","0.064","1","PC","middle"
"4789","Southern","SM9","2021-08-21",1,"Middle Water","<0.5","<0.001","5.5","N/A","N/A","N/A","0.35",26.2,"3","1.1",2.2,30.2,"<0.2",7.2,"0.009","0.076","0.22","22","12",4.2,61,"2.1","0.055","0.7","PC","middle"
"4790","Southern","SM9","2021-08-21",1,"Bottom Water","<0.5","<0.001","7.5","N/A","N/A","N/A","0.35",25.8,"3.4","1.3",2.2,30.7,"2.2",7.2,"0.015","0.072","0.2","24","16",3.7,55,"9.2","0.081","0.6","PC","middle"
"4791","Southern","SM9","2021-09-02",1,"Surface Water","1.9","0.001","4.3","N/A","N/A","N/A","0.2",27.8,"3.5","0.79",2.1,29.7,"4.1",7.5,"<0.002","0.019","0.096","4","2",4.5,67,"25","0.084","2.9","PC","middle"
"4792","Southern","SM9","2021-09-02",1,"Middle Water","1.7","0.001","3.5","N/A","N/A","N/A","0.27",27.2,"3.8","1",2.1,29.8,"3.8",7.4,"0.008","0.027","0.13","93","46",5.2,77,"25","0.11","2.2","PC","middle"
"4793","Southern","SM9","2021-09-02",1,"Bottom Water","2.7","<0.001","5.9","N/A","N/A","N/A","0.19",26,"7.6","0.82",2.1,30.7,"3.5",7.2,"<0.002","0.019","0.095","2","2",4.8,70,"26","0.077","2.3","PC","middle"
"4794","Southern","SM9","2021-10-11",1,"Surface Water","1","0.006","9.3","N/A","N/A","N/A","0.34",28.4,"8.2","1.2",2.1,29.9,"<0.2",7.9,"0.025","0.047","0.15","1600","570",5.8,88,"1.4","0.14","0.4","PC","middle"
"4795","Southern","SM9","2021-10-11",1,"Middle Water","0.9","0.006","10.2","N/A","N/A","N/A","0.34",28.3,"8","1.3",2.1,29.9,"<0.2",7.9,"0.026","0.046","0.15","980","600",4.6,70,"1.1","0.14","0.4","PC","middle"
"4796","Southern","SM9","2021-10-11",1,"Bottom Water","1","0.005","9.4","N/A","N/A","N/A","0.33",28.3,"8.4","1.3",2.1,29.9,"0.3",7.9,"0.012","0.047","0.15","970","580",5,76,"1","0.13","0.4","PC","middle"
"4797","Southern","SM9","2021-11-08",1,"Surface Water","0.8","0.001","10.3","0.11","1.96","1.7","0.34",25.8,"5.8","1",1.4,31.9,"0.8",7.5,"0.024","0.088","0.17","630","320",6,88,"2.5","0.084","0.3","PC","middle"
"4798","Southern","SM9","2021-11-08",1,"Middle Water","0.9","0.001","10.2","0.11","1.36","1.1","0.35",26,"6","1",1.4,31.9,"0.6",7.5,"0.024","0.089","0.17","840","370",4.8,71,"2.5","0.089","0.3","PC","middle"
"4799","Southern","SM9","2021-11-08",1,"Bottom Water","0.8","0.001","13","0.11","1.26","1","0.35",26.1,"5","1",1.4,32.1,"0.7",7.5,"0.023","0.088","0.17","870","450",5.6,83,"2.6","0.088","0.4","PC","middle"
"4800","Southern","SM9","2021-12-08",1,"Surface Water","1","0.002","9.4","0.04","0.37","0.24","0.26",21.6,"7.2","0.74",1.8,33.5,"0.7",7.6,"0.017","0.049","0.085","2800","2100",5.1,71,"1.5","0.13","0.5","PC","middle"
"4801","Southern","SM9","2021-12-08",1,"Middle Water","1.3","0.002","9.3","0.04","0.33","0.2","0.26",21.6,"9.1","0.77",1.8,33.6,"0.9",7.6,"0.019","0.05","0.084","2900","2000",5.9,82,"1.5","0.13","0.3","PC","middle"
"4802","Southern","SM9","2021-12-08",1,"Bottom Water","1.8","0.002","11.6","0.04","0.43","0.28","0.28",21.6,"13","0.8",1.8,33.6,"1.3",7.6,"0.016","0.051","0.1","3900","3000",5.9,82,"1.4","0.13","0.4","PC","middle"
"4803","Southern","SM9","2022-01-05",1,"Surface Water","1.2","0.001","7.2","0.05","0.96","0.8","0.29",20.6,"5.6","0.95",2,33.4,"<0.2",7.5,"0.024","0.049","0.11","100","90",6.2,84,"1.3","0.13","0.3","PC","middle"
"4804","Southern","SM9","2022-01-05",1,"Middle Water","1.4","0.001","11","0.05","0.67","0.51","0.29",20,"12","0.91",2,33.5,"0.8",7.5,"0.024","0.05","0.11","1300","810",5.6,75,"0.9","0.13","0.4","PC","middle"
"4805","Southern","SM9","2022-01-05",1,"Bottom Water","2.1","0.001","14.3","0.04","0.89","0.73","0.28",19.9,"14","0.93",2,33.5,"0.9",7.5,"0.024","0.05","0.11","1000","570",5.9,79,"0.8","0.12","0.3","PC","middle"
"4806","Southern","SM9","2022-02-09",1,"Surface Water","0.8","<0.001","7.5","0.04","0.55","0.47","0.24",17.5,"3.7","0.73",2.7,33.2,"<0.2",7.4,"0.021","0.015","0.064","580","440",6.7,85,"1.5","0.16","0.9","PC","middle"
"4807","Southern","SM9","2022-02-09",1,"Middle Water","0.7","<0.001","6.9","0.04","0.45","0.37","0.23",17.7,"3.5","0.74",2.7,33.1,"0.5",7.4,"0.02","0.014","0.065","650","490",6.2,79,"1.4","0.15","0.6","PC","middle"
"4808","Southern","SM9","2022-02-09",1,"Bottom Water","0.9","<0.001","7.2","0.05","0.49","0.41","0.23",17.7,"3.7","0.75",2.7,33.2,"0.6",7.4,"0.02","0.015","0.063","820","610",6.7,86,"1","0.15","0.5","PC","middle"
"4809","Southern","SM9","2022-04-01",1,"Surface Water","0.7","0.002","9.2","0.03","0.48","0.35","0.3",20.6,"2.3","0.77",2.1,31,"0.3",7.6,"0.006","0.007","0.12","2800","2000",6.5,86,"0.6","0.17","0.6","PC","middle"
"4810","Southern","SM9","2022-04-01",1,"Middle Water","2.4","0.002","7.4","0.03","0.59","0.46","0.3",20.6,"5.8","0.76",2.1,31,"<0.2",7.6,"0.009","0.007","0.12","3100","1800",5.6,75,"0.6","0.17","0.2","PC","middle"
"4811","Southern","SM9","2022-04-01",1,"Bottom Water","0.5","0.002","7.4","0.03","0.58","0.46","0.29",20.6,"5.2","0.77",2.1,31,"0.2",7.6,"0.014","0.007","0.11","2400","1300",6,80,"0.7","0.17","0.2","PC","middle"
"4812","Southern","SM9","2022-05-16",1,"Surface Water","0.7","0.005","6.8","0.04","0.24","0.19","0.17",24.3,"2.1","0.94",2.5,28.8,"0.4",8,"0.018","0.012","0.037","810","470",4.8,68,"2","0.12","<0.1","PC","middle"
"4813","Southern","SM9","2022-05-16",1,"Middle Water","0.6","0.005","6.7","0.04","0.28","0.2","0.21",24.4,"2.3","0.89",2.5,29.1,"<0.2",8,"0.018","0.012","0.064","910","450",5.2,74,"3.1","0.13","<0.1","PC","middle"
"4814","Southern","SM9","2022-05-16",1,"Bottom Water","0.5","0.006","8.1","0.03","0.23","0.17","0.2",24.8,"1.9","0.91",2.5,30.7,"<0.2",8,"0.018","0.012","0.048","2300","900",5.3,76,"1.1","0.14","<0.1","PC","middle"
"4815","Southern","SM9","2022-06-20",1,"Surface Water","1.4","0.001","12.5","0.04","1.09","0.18","0.95",27,"5.3","5.9",2.8,16.1,"0.7",7.6,"<0.002","0.077","0.83","3300","1500",6.1,84,"3","0.046","<0.1","PC","middle"
"4816","Southern","SM9","2022-06-20",1,"Middle Water","1.2","0.001","7.2","0.04","0.9","0.17","0.79",26.4,"4.7","3.9",2.8,22.8,"1.8",7.7,"<0.002","0.088","0.64","12000","5600",5.1,73,"4.2","0.058","<0.1","PC","middle"
"4817","Southern","SM9","2022-06-20",1,"Bottom Water","0.8","0.001","8.1","0.03","0.79","0.12","0.74",25.9,"2.2","3.6",2.8,27.3,"1.4",7.6,"<0.002","0.084","0.59","2800","1800",4.5,65,"3.1","0.062","<0.1","PC","middle"
"4818","Southern","SM9","2022-07-23",1,"Surface Water","1.8","0.006","12.9","0.04","0.61","0.21","0.45",29.3,"5.3","3.6",2,22.5,"4.4",8.2,"<0.002","0.016","0.38","2000","610",7.6,112,"28","0.056","2.3","PC","final"
"4819","Southern","SM9","2022-07-23",1,"Middle Water","1.6","0.005","6.9","0.07","0.58","0.27","0.37",28.8,"3.7","2",2,24.1,"6.3",8.1,"<0.002","0.015","0.29","1000","480",7.6,112,"38","0.068","2.6","PC","final"
"4820","Southern","SM9","2022-07-23",1,"Bottom Water","2.6","0.002","10.1","0.06","0.49","0.15","0.42",26.7,"15","2.9",2,28.5,"3.5",7.8,"0.012","0.021","0.32","1100","610",8.2,120,"18","0.074","1.2","PC","final"
"4821","Southern","SM9","2022-08-04",1,"Surface Water","1","0.001","6.5","0.03","0.52","0.16","0.42",26.6,"2.2","2.1",2.3,29.2,"3.6",7.7,"0.013","0.033","0.33","2300","1800",6.1,89,"9.2","0.052","1.1","PC","final"
"4822","Southern","SM9","2022-08-04",1,"Middle Water","0.9","0.002","7.5","0.04","0.48","0.14","0.42",26.5,"3.1","2.1",2.3,29.4,"3",7.7,"0.016","0.032","0.31","1600","1500",4.2,61,"7.8","0.075","1","PC","final"
"4823","Southern","SM9","2022-08-04",1,"Bottom Water","0.8","0.001","6.9","0.03","0.53","0.19","0.39",26.4,"2.1","2.1",2.3,29.8,"2.6",7.7,"0.017","0.032","0.31","1500","1300",4.3,64,"7.2","0.047","1","PC","final"
"4824","Southern","SM9","2022-09-28",1,"Surface Water","1","0.007","4.1","0.08","0.39","0.2","0.31",28.4,"8.4","0.99",2.6,31.5,"1.9",8,"0.02","0.043","0.15","500","200",4.2,64,"0.2","0.12","0.2","PC","final"
"4825","Southern","SM9","2022-09-28",1,"Middle Water","1.2","0.007","4.2","0.08","0.47","0.28","0.31",28.5,"9.7","0.98",2.6,31.4,"0.7",8,"0.01","0.042","0.15","380","90",4.1,62,"1.3","0.12","<0.1","PC","final"
"4826","Southern","SM9","2022-09-28",1,"Bottom Water","1.6","0.007","4.2","0.08","0.37","0.18","0.31",28.5,"8.8","1",2.6,31.4,"1.8",8,"0.019","0.043","0.15","720","290",4.7,73,"0.7","0.12","0.1","PC","final"
"4827","Southern","SM9","2022-10-10",1,"Surface Water","1.3","0.004","4.3","0.06","0.27","0.17","0.16",28.2,"6.8","0.84",1.9,32.7,"1.3",8,"0.012","0.029","0.07","36","12",6,92,"2","0.063","0.4","PC","final"
"4828","Southern","SM9","2022-10-10",1,"Middle Water","1.2","0.003","4.2","0.05","0.37","0.27","0.14",28.3,"8.1","0.83",1.9,32.6,"1.2",8,"0.015","0.029","0.066","28","7",4.8,75,"2.3","0.046","0.6","PC","final"
"4829","Southern","SM9","2022-10-10",1,"Bottom Water","1","0.002","4.3","0.06","0.3","0.2","0.14",28.3,"7.8","0.83",1.9,32.7,"2",8,"0.012","0.028","0.07","44","26",5.5,85,"1.9","0.042","0.3","PC","final"
"4830","Southern","SM9","2022-11-25",1,"Surface Water","0.7","0.001","61.2","0.11","0.79","0.57","0.39",24.1,"6.1","1.1",1.6,32.1,"0.3",7.2,"0.013","0.031","0.19","700","400",5.8,83,"1.5","0.17","0.2","PC","final"
"4831","Southern","SM9","2022-11-25",1,"Middle Water","1.5","0.001","47.5","0.11","0.89","0.69","0.37",24.1,"6.8","1",1.6,32.1,"0.7",7.2,"0.021","0.028","0.17","620","370",5.7,82,"0.9","0.17","0.4","PC","final"
"4832","Southern","SM9","2022-11-25",1,"Bottom Water","0.7","0.001","50.8","0.11","0.98","0.8","0.36",24.1,"6.8","1.1",1.6,32.1,"0.7",7.2,"0.016","0.027","0.15","930","520",6,85,"1.2","0.18","0.2","PC","final"
"4833","Southern","SM9","2022-12-10",1,"Surface Water","0.8","0.001","7.3","0.06","1","0.92","0.2",22.5,"6.3","0.67",1.6,33.2,"0.4",7.5,"0.008","0.008","0.07","120","80",6.1,85,"0.9","0.12","<0.1","PC","final"
"4834","Southern","SM9","2022-12-10",1,"Middle Water","1.3","0.002","8.3","0.07","0.71","0.63","0.21",22.5,"9.1","0.76",1.6,33.2,"0.9",7.5,"<0.002","0.008","0.067","160","98",6,84,"0.8","0.13","0.2","PC","final"
"4835","Southern","SM9","2022-12-10",1,"Bottom Water","1.5","0.001","8.1","0.06","1.02","0.94","0.2",22.5,"11","0.61",1.6,33.2,"0.7",7.5,"0.01","0.008","0.071","130","70",6,84,"0.9","0.12","<0.1","PC","final"
"4836","Southern","ST1","2020-07-08",1,"Surface Water","4.7","0.009","2.9","0.06","0.8","0.58","0.3",28.8,"16","0.23",1.9,24.8,"5.5",8.3,"0.008","0.027","0.19","500","93",7.7,114,"25","0.083","2.9","CC","initial"
"4837","Southern","ST1","2020-07-08",1,"Middle Water","5.5","0.009","3.2","0.04","0.68","0.46","0.3",28.7,"16","0.3",1.9,24.8,"5.2",8.3,"0.008","0.027","0.19","420","76",7.6,113,"25","0.082","2.9","CC","initial"
"4838","Southern","ST1","2020-07-08",1,"Bottom Water","5","0.009","3.5","0.04","0.43","0.2","0.33",28.4,"17","0.52",1.9,25.1,"4.9",8.2,"0.008","0.028","0.2","550","180",7.5,111,"20","0.1","2.3","CC","initial"
"4839","Southern","ST1","2020-10-15",1,"Surface Water","1.2","0.006","6.7","0.08","0.95","0.9","0.17",27.2,"7","1.3",1.8,32.6,"1.8",8,"0.024","0.011","0.036","530","320",4.6,70,"1.7","0.12","0.5","CC","initial"
"4840","Southern","ST1","2020-10-15",1,"Middle Water","1.3","0.006","6.8","0.07","1.15","1.1","0.18",27.2,"7.6","1.6",1.8,32.6,"1.9",8,"0.016","0.012","0.037","480","360",5.1,77,"1.4","0.13","0.6","CC","initial"
"4841","Southern","ST1","2020-10-15",1,"Bottom Water","1.1","0.006","9.1","0.08","0.31","0.26","0.17",27,"7.6","1.5",1.8,32.6,"1.7",8,"0.019","0.012","0.037","470","190",5.1,77,"1.9","0.12","0.6","CC","initial"
"4842","Southern","ST1","2020-11-06",1,"Surface Water","1.3","0.002","8.2","0.06","0.61","0.5","0.18",24.6,"5.4","0.85",1.6,33.2,"2.4",7.8,"0.005","0.03","0.083","80","30",6.2,91,"6.5","0.062","0.6","CC","initial"
"4843","Southern","ST1","2020-11-06",1,"Middle Water","1.4","0.002","7.4","0.05","0.66","0.51","0.21",24.6,"6","0.88",1.6,33.2,"2.4",7.8,"0.009","0.036","0.11","100","58",6.3,92,"7.2","0.064","0.8","CC","initial"
"4844","Southern","ST1","2020-11-06",1,"Bottom Water","1.7","0.002","23.9","0.06","1.13","0.98","0.21",24.5,"7.9","0.9",1.6,33.2,"2.9",7.8,"0.006","0.035","0.11","220","100",6.1,89,"6.8","0.065","0.8","CC","initial"
"4845","Southern","ST1","2021-03-01",1,"Surface Water","3.4","0.003","6","0.11","0.72","0.65","0.21",20.5,"5.2","0.7",1.6,32.1,"0.5",7.8,"0.003","0.007","0.062","96","51",5.2,70,"1.5","0.14","0.7","CC","initial"
"4846","Southern","ST1","2021-03-01",1,"Middle Water","0.5","0.003","4.6","0.14","0.5","0.43","0.21",20.4,"1.8","0.7",1.6,32.2,"<0.2",7.8,"0.011","0.009","0.059","170","110",5.1,69,"2.2","0.14","0.9","CC","initial"
